120,120
101,120,118
101,120,118
101,120,118
101,120,120
101,120,120
101,120,118
101,120,120
101,120,120
101,120,118
101,120,118
101,120,120
101,120,120
101,120,118
101,120,120
101,120,118
101,120,120
101,120,118
101,120,120
101,120,120
101,120,118
101,120,120
101,117,120
101,120,120
101,120,118
101,120,120
101,120,120
101,120,118
101,124,118
101,120,123
101,120,120
102,120,120
101,120,120
101,117,120
101,120,120
101,120,118
101,120,120
101,120,120
101,120,118
101,120,118
101,120,118
101,120,120
101,120,118
101,120,120
101,120,120
101,120,120
101,120,120
101,120,120
101,117,120
101,120,118
101,120,120
