5
17,-28,6
15,-40,3
18,-28,18
20,-35,16
20,-24,6
34,-11,13
24,-13,3
14,-24,10
26,20,10
-30,-8,8
-20,-44,-6
-131,-46,-103
-7,24,-38
15,-33,38
-36,20,-48
-1,8,-28
-105,-226,-101
-8,60,-16
34,26,16
-65,-95,-60
-30,73,-45
18,11,6
5,-6,28
-24,68,-13
-17,-42,-55
-31,-44,-28
-49,31,-56
15,-11,-1
-7,-4,5
-36,35,-66
4,-15,-6
-13,-6,1
86,111,111
85,97,95
84,100,106
105,122,123
102,120,123
108,124,125
108,124,126
107,124,125
108,124,125
107,124,125
101,117,116
91,106,106
78,88,91
68,-91,-95
89,106,110
85,106,106
102,122,120
